Country,mean,mean_sd,max,max_sd,min,min_sd,Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Albania,15.820183348968547,3.61925532649504,22.1260207328249,4.439839620674574,10.153784085378907,4.203654781023214,Europe,2.1,-3.3,8.9,4.8,3.6,3.3,3.4,3.5,3.5,3.5
Armenia,9.445884261053667,4.730592103901231,15.448048159102436,5.543314858747954,4.264873750261691,5.060833446061334,Asia,7.6,-7.2,5.7,12.6,7.0,5.0,4.5,4.5,4.5,4.5
Austria,8.891426325803842,4.384139982742574,11.680707397137938,5.787136091917122,6.6088197560127675,4.698595213495011,Europe,1.5,-6.5,4.6,4.8,0.1,0.8,1.7,1.9,1.7,1.3
Azerbaijan,14.8445935623204,3.129184419128151,19.754016174654453,4.058232813414199,10.626055458906757,3.183419098728051,Asia,2.5,-4.2,5.6,4.6,2.5,2.5,2.5,2.5,2.5,2.5
Bangladesh,25.98002866323056,2.449028845184718,30.660476321954366,3.171988807846612,23.11512312088883,3.584755496301741,Asia,7.9,3.4,6.9,7.1,6.0,6.0,6.6,7.1,7.2,7.0
Belarus,7.7350106820629625,3.1793062302376014,11.719479492204742,3.820048762818112,3.8891648568956687,3.6624858834529426,Europe,1.4,-0.7,2.3,-3.7,1.6,1.3,0.6,0.7,0.9,0.6
Belgium,11.254738733369694,3.37783888715772,15.400636134120079,3.949414117020915,7.5208424777128045,3.833350447435548,Europe,2.3,-5.4,6.3,3.2,1.0,0.9,1.2,1.2,1.2,1.3
Bosnia and Herzegovina,12.559726682099667,5.2110257537639155,14.656646155650138,6.4145600485132475,10.94315421321761,5.5202996459428775,Europe,2.9,-3.0,7.4,4.1,2.0,3.0,3.0,3.0,3.0,3.0
Brunei Darussalam,27.36753904249872,1.0907081696812329,31.627359511008706,1.836840066047169,24.388960253456222,1.3888096332966187,Asia,3.9,1.1,-1.6,-1.6,-0.8,3.5,2.8,3.0,3.1,3.2
Bulgaria,11.163800155937253,6.066557090030703,16.537361751152073,7.558947473629394,6.573709444677186,5.5076362362490805,Europe,4.0,-4.0,7.6,3.4,1.7,3.2,3.0,2.9,2.8,2.8
Cambodia,24.338773794131413,2.188798682514703,25.205441963201924,2.3487756183067847,23.64219142901389,2.2076341166242694,Asia,7.1,-3.1,3.0,5.2,5.6,6.1,6.4,6.5,6.2,6.3
"China, People's Republic of",12.413503338569896,8.046547747503858,16.094486687864997,8.436912461800057,9.327202557263808,9.257975138020656,Asia,6.0,2.2,8.4,3.0,5.0,4.2,4.1,4.1,3.7,3.4
Croatia,14.450105414480186,4.142435563804304,19.359435272818345,4.582219634629858,10.292184756760536,4.704812185680004,Europe,3.4,-8.5,13.1,6.2,2.7,2.6,2.7,2.9,2.8,2.8
Cyprus,18.570400103234217,3.7531554436523096,21.772095944163496,5.534928975273014,15.184388696419937,2.5649866467425957,Europe,5.5,-4.4,6.6,5.6,2.2,2.7,3.0,3.0,3.0,2.9
Czech Republic,8.825339325500616,3.865717760286375,8.86423437262147,3.8090383637775784,8.792607215510442,3.93912798908808,Europe,3.0,-5.5,3.6,2.3,0.2,2.3,2.9,2.7,2.5,2.5
Denmark,9.696296781236578,2.4931314511796536,11.687655512658397,3.1920269682382294,7.819146009288716,3.2966289198303826,Europe,1.5,-2.4,6.8,2.7,1.7,1.4,1.2,1.3,1.3,1.3
Estonia,7.139389017038997,3.174901591449782,10.642678352168419,3.412678238720799,3.2656841477322396,3.873084259532508,Europe,4.0,-1.0,7.2,-0.5,-2.3,2.4,2.7,2.9,3.0,2.9
Finland,4.339665179550779,4.445208879066188,7.1239309835537625,4.721454552698157,1.371046520464614,5.3149145920328165,Europe,1.2,-2.4,3.2,1.6,-0.1,1.0,1.3,1.6,1.6,1.6
France,13.907933850690652,3.678155032970673,15.450231112955821,4.533870663340909,12.540144530898639,4.410724501381028,Europe,1.9,-7.7,6.4,2.5,1.0,1.3,1.8,1.7,1.5,1.4
Georgia,11.53070027387461,4.5264888449259715,17.138876471284785,5.683598714613502,7.952119152685359,5.852721119331142,Asia,5.0,-6.8,10.5,10.1,6.2,4.8,5.2,5.2,5.2,5.2
Germany,10.297109348564776,3.650300813876378,11.930556258971366,4.5937089242890154,8.801675650355396,4.181775632254017,Europe,1.1,-3.8,3.2,1.8,-0.5,0.9,2.0,1.9,1.3,0.9
Greece,17.191254191792297,3.3573118728715383,17.191254191792297,3.3573118728715383,17.191254191792297,3.3573118728715383,Europe,1.9,-9.0,8.4,5.9,2.5,2.0,1.4,1.4,1.2,1.1
Hong Kong SAR,23.2145023469224,2.474207952155322,23.834521428691442,3.0958521540108683,22.786693398986625,2.4523064804535273,Asia,-1.7,-6.5,6.4,-3.5,4.4,2.9,2.9,2.7,2.6,2.4
Hungary,11.709826647054042,3.20096135281389,14.748189085156929,4.674096386718861,8.949174044664064,4.218412975008521,Europe,4.9,-4.5,7.2,4.6,-0.3,3.1,3.3,3.4,3.4,3.5
